
=== Advanced Token Icon Scraping Report ===
Total tokens processed: 130
Successfully downloaded: 31
Already existed: 1
Not found: 98
Download failed: 0
Success rate: 23.8%

Detailed results:
  ACH: not_found
  AERO: success
  AEUR: not_found
  AGIX: success
  AGLD: not_found
  AIAT: not_found
  ALT: success
  APFC: not_found
  API3: success
  AUDIO: success
  AnzBond: not_found
  BANANA: not_found
  BB: not_found
  BET: not_found
  BIGTIME: not_found
  BIO: not_found
  BMC: not_found
  Base: not_found
  CARV: not_found
  CHR: not_found
  COOKIE: not_found
  COREUM: not_found
  COW: not_found
  CTSI: success
  CUDOS: success
  DEVVE: not_found
  DICE: not_found
  DKA: not_found
  DRS: not_found
  EDU: not_found
  EDU_2: not_found
  ELON: success
  ENA: not_found
  ETHFI: not_found
  EURC: already_exists
  EURCV: not_found
  EURI: not_found
  EURS: success
  EURt: not_found
  EUTBL: not_found
  FAI: not_found
  FISH: not_found
  FX: not_found
  GFI: not_found
  GYEN: success
  ID: success
  IDRT: not_found
  KAITO: not_found
  LBTC: not_found
  LUSD: success
  LsETH: not_found
  MAG7.ssi: not_found
  MAGIC: not_found
  MNEE: not_found
  MOCA: not_found
  MORPHO: not_found
  NPC: not_found
  OETH: success
  OM: not_found
  OUSD: success
  PEOPLE: not_found
  PHA: success
  PRIME: not_found
  PROM: not_found
  PUNDIX: not_found
  PYR: not_found
  PYTH: not_found
  PYUSD: success
  Pin: not_found
  RING: not_found
  RLUSD: not_found
  SKITTEN: not_found
  SLG: not_found
  SLP: success
  SSV: success
  SUSD: success
  SYN: success
  SYRUP: not_found
  SolvBTC: not_found
  TAIKO: not_found
  TON: not_found
  TRUMP: not_found
  TWJ: not_found
  USDCE: not_found
  USDG: not_found
  USDL: not_found
  USDV: success
  USDe: not_found
  USTBL: not_found
  USTC: success
  VANRY: not_found
  VCHF: not_found
  VCOIN: not_found
  VEUR: not_found
  VIRTUAL: not_found
  VVS: not_found
  W: not_found
  WBT: not_found
  WETH: success
  WILD: success
  WIP: not_found
  WMTX: not_found
  WPCI: not_found
  WPENGU: not_found
  WTRUMP: not_found
  WUSD: not_found
  XPR: success
  XSGD: success
  ZK: not_found
  ZRC: not_found
  ZRO: not_found
  ZUSD: not_found
  cbBTC: not_found
  cbETH: success
  cgETH.hashkey: not_found
  clBTC: not_found
  eBORA: not_found
  eBTC: not_found
  ezETH: success
  pepecoin: not_found
  pzETH: not_found
  rETH: success
  rswETH: success
  sFRAX: not_found
  sUSDC: not_found
  sUSDS: not_found
  superOETHb: not_found
  vena: not_found
  weETH.base: not_found
  wstETH: success
